,pais,poblacion
236,Wallis y Futuna,N/S
223,Tonga,122.580
190,Samoa,192.001
222,Tokelau,N/S
191,Samoa Americana,N/S
161,Niue,N/S
103,Islas Cook,N/S
174,Polinesia Francesa,N/S
110,Islas Pitcairn,N/S
147,México,112.468.855
64,Estados Unidos,310.232.863
38,Canadá,33.679.000
81,Guatemala,13.550.440
57,El Salvador,6.052.064
21,Belice,314.522
89,Honduras,7.989.415
158,Nicaragua,5.995.928
50,Costa Rica,4.516.220
101,Islas Caimán,N/S
52,Cuba,11.423.000
170,Panamá,3.410.676
55,Ecuador,14.790.608
117,Jamaica,2.847.232
16,Bahamas,301.790
173,Perú,29.907.003
88,Haití,9.648.924
45,Colombia,47.790.000
112,Islas Turcas y Caicos,N/S
41,Chile,16.746.491
185,República Dominicana,9.823.821
12,Aruba,N/S
7,Antillas Neerlandesas,N/S
177,Puerto Rico,N/S
234,Venezuela,27.223.228
26,Bolivia,9.947.418
114,Islas Vírgenes de los Estados Unidos,N/S
23,Bermudas,N/S
113,Islas Vírgenes Británicas,N/S
10,Argentina,41.343.201
5,Anguila,N/S
192,San Cristóbal y Nieves,51.134
153,Montserrat,N/S
6,Antigua y Barbuda,86.754
76,Granada,107.818
79,Guadalupe,N/S
54,Dominica,72.813
195,San Vicente y las Granadinas,104.217
197,Santa Lucía,160.922
224,Trinidad y Tobago,1.228.691
143,Martinica,N/S
18,Barbados,285.653
87,Guyana,748.486
107,Islas Malvinas,N/S
172,Paraguay,6.375.830
194,San Pedro y Miquelón,N/S
231,Uruguay,3.477.000
212,Surinam,492.829
29,Brasil,201.103.330
82,Guayana Francesa,N/S
78,Groenlandia,N/S
105,Islas Georgias del Sur y Sandwich del Sur,N/S
35,Cabo Verde,508.659
100,Islandia,308.910
72,Gambia,1.593.256
85,Guinea-Bisáu,1.565.126
199,Senegal,12.323.252
180,República Árabe Saharaui Democrática,N/S
145,Mauritania,3.205.060
202,Sierra Leona,5.245.695
84,Guinea,10.324.025
130,Liberia,3.685.076
96,Irlanda,4.622.917
176,Portugal,10.676.000
104,Islas Feroe,N/S
196,"Santa Elena, Ascensión y Tristán de Acuña",N/S
75,Gibraltar,N/S
49,Costa de Marfil,21.058.798
142,Marruecos,31.627.428
98,Isla de Man,N/S
140,Malí,13.796.354
62,España,46.505.963
83,Guernsey,N/S
119,Jersey,N/S
32,Burkina Faso,16.241.811
74,Ghana,24.339.838
178,Reino Unido,62.348.447
221,Togo,6.587.239
3,Andorra,84.000
70,Francia,64.768.389
22,Benín,9.056.010
9,Argelia,34.586.184
97,Isla Bouvet,N/S
20,Bélgica,10.403.000
167,Países Bajos,16.645.000
134,Luxemburgo,497.538
198,Santo Tomé y Príncipe,175.808
150,Mónaco,32.965
211,Suiza,7.581.000
160,Nigeria,154.000.000
159,Níger,15.878.271
2,Alemania,81.802.257
225,Túnez,10.589.025
132,Liechtenstein,35.000
86,Guinea Ecuatorial,1.014.999
53,Dinamarca,5.484.000
163,Noruega,5.009.150
71,Gabón,1.545.255
37,Camerún,19.294.149
193,San Marino,31.477
44,Ciudad del Vaticano,921
116,Italia,60.340.328
14,Austria,8.205.000
141,Malta,403.000
184,República del Congo,3.039.126
61,Eslovenia,2.007.000
210,Suecia,9.555.893
182,República Checa,10.476.000
51,Croacia,4.491.000
155,Namibia,2.128.471
131,Libia,6.461.454
27,Bosnia y Herzegovina,4.590.000
4,Angola,13.068.161
40,Chad,10.543.464
152,Montenegro,666.730
60,Eslovaquia,5.455.000
1,Albania,2.986.952
91,Hungría,9.982.000
175,Polonia,38.500.000
213,Svalbard y Jan Mayen,N/S
181,República Centroafricana,4.844.927
200,Serbia,7.344.847
183,República de Macedonia,2.062.294
77,Grecia,11.000.000
133,Lituania,2.944.459
208,Sudáfrica,49.000.000
28,Botsuana,2.029.307
128,Letonia,2.217.969
179,República Democrática del Congo,70.916.439
31,Bulgaria,7.148.785
188,Rumania,21.959.278
68,Finlandia,5.244.000
65,Estonia,1.291.170
24,Bielorrusia,9.685.000
127,Lesoto,1.919.552
149,Moldavia,4.324.000
239,Zambia,13.460.305
240,Zimbabue,11.651.858
187,Ruanda,11.055.976
56,Egipto,80.471.869
209,Sudán,35.000.000
33,Burundi,9.863.117
207,Suazilandia,1.354.051
230,Uganda,33.398.682
229,Ucrania,45.415.596
43,Chipre,1.102.677
138,Malaui,15.447.500
115,Israel,7.353.985
216,Tanzania,41.892.895
154,Mozambique,22.061.451
227,Turquía,77.804.122
63,Estado de Palestina,N/S
129,Líbano,4.125.247
120,Jordania,6.407.085
66,Etiopía,88.013.491
204,Siria,22.198.110
122,Kenia,40.046.566
59,Eritrea,5.792.984
238,Yibuti,740.528
73,Georgia,4.630.000
94,Irak,29.671.605
46,Comoras,773.407
8,Arabia Saudita,25.731.776
11,Armenia,2.968.000
146,Mayotte,N/S
136,Madagascar,21.281.844
15,Azerbaiyán,8.303.512
125,Kuwait,2.789.132
237,Yemen,23.495.361
205,Somalia,10.112.453
19,Baréin,738.004
39,Catar,840.926
95,Irán,76.923.300
58,Emiratos Árabes Unidos,4.975.593
186,Reunión,N/S
201,Seychelles,88.340
166,Omán,2.967.717
144,Mauricio,1.294.104
226,Turkmenistán,4.940.916
232,Uzbekistán,27.865.738
0,Afganistán,29.121.286
219,Territorios Australes Franceses,N/S
121,Kazajistán,15.340.000
168,Pakistán,184.404.791
217,Tayikistán,7.487.489
218,Territorio Británico del Océano Índico,N/S
106,Islas Heard y McDonald,N/S
139,Maldivas,395.650
123,Kirguistán,5.508.626
92,India,1.173.108.018
206,Sri Lanka,21.513.990
157,Nepal,28.951.852
17,Bangladés,156.118.464
34,Bután,699.847
102,Islas Cocos,N/S
25,Birmania,53.414.374
189,Rusia,140.702.000
214,Tailandia,67.089.500
203,Singapur,4.701.069
36,Camboya,14.453.680
151,Mongolia,3.086.918
42,China,1.330.044.000
126,Laos,6.368.162
99,Isla de Navidad,N/S
235,Vietnam,89.571.130
137,Malasia,28.274.729
135,Macao,N/S
90,Hong Kong,N/S
30,Brunéi,395.027
93,Indonesia,242.968.342
215,Taiwán,22.894.384
67,Filipinas,99.900.177
220,Timor Oriental,1.154.625
47,Corea del Norte,22.912.177
48,Corea del Sur,48.422.644
13,Australia,21.515.754
169,Palaos,N/S
118,Japón,127.288.000
80,Guam,N/S
108,Islas Marianas del Norte,N/S
171,Papúa Nueva Guinea,6.064.515
148,Micronesia,N/S
111,Islas Salomón,559.198
164,Nueva Caledonia,N/S
156,Nauru,10.065
233,Vanuatu,221.552
162,Norfolk,N/S
109,Islas Marshall,N/S
124,Kiribati,92.533
165,Nueva Zelanda,4.252.277
69,Fiyi,875.983
228,Tuvalu,10.472
